"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание пользователя","2","0","Создание пользователя с отсутствующим обязательным полем","0"
"0","","0","Создание заказа","3","0","","0"
"0","","0","","1","0","Изменение данных пользователя","0"
"0","","0","Логин пользователя","3","0","","0"
"0","","0","Создание заказа","1","0","Создание заказа без авторизации","0"
"0","","0","Orders","3","0","","0"
"0","","0","","3","0","","0"
"0","","0","Создание заказа","1","0","Создание заказа с авторизацией","0"
"0","","0","Логин пользователя","1","0","Логин с неверным логином и паролем","0"
"0","","0","Создание заказа","1","0","Создание заказа с неверным хешем ингредиентов","0"
"0","","0","Создание пользователя","1","0","","0"
"0","","0","Логин пользователя","1","0","Успешный логин под существующим пользователем","0"
"0","","0","Создание пользователя","1","0","Создание пользователя с уже существующими данными","0"
