"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Проверка корректной ошибки при попытке создания пользователя без поля имя","tests","Sun Dec 08 20:30:25 CET 2024","passed","Sun Dec 08 20:30:26 CET 2024","TestCreateUser","test_create_user","",""
"","192","Ошибка при создании заказа с неверным хешем ингредиентов с авторизацией","tests","Sun Dec 08 20:30:38 CET 2024","passed","Sun Dec 08 20:30:38 CET 2024","TestCreateOrder","test_make_order","",""
"","221","Проверка корректной ошибки при попытке создания пользователя без поля почты","tests","Sun Dec 08 20:30:25 CET 2024","passed","Sun Dec 08 20:30:25 CET 2024","TestCreateUser","test_create_user","",""
"","214","Ошибка при создании заказа без авторизации и без ингредиентов","tests","Sun Dec 08 20:30:39 CET 2024","passed","Sun Dec 08 20:30:39 CET 2024","TestCreateOrder","test_make_order","",""
"","183","Успешное изменение имени и почты с авторизацией","tests","Sun Dec 08 20:30:40 CET 2024","passed","Sun Dec 08 20:30:40 CET 2024","","test_update_user","",""
"","270","Проверка корректной ошибки при попытки авторизации без поля почты","tests","Sun Dec 08 20:30:32 CET 2024","passed","Sun Dec 08 20:30:32 CET 2024","TestLoginUser","test_login user","",""
"","276","Проверка корректной ошибки при попытки авторизации с некорректным паролем","tests","Sun Dec 08 20:30:33 CET 2024","passed","Sun Dec 08 20:30:33 CET 2024","TestLoginUser","test_login user","",""
"","191","Успешное создание заказа без авторизации с ингредиентами","tests","Sun Dec 08 20:30:39 CET 2024","passed","Sun Dec 08 20:30:39 CET 2024","TestCreateOrder","test_make_order","",""
"","2528","Успешное получение заказов при наличии заказа у авторизованного пользователя","tests","Sun Dec 08 20:30:26 CET 2024","passed","Sun Dec 08 20:30:28 CET 2024","TestGetOrders","test_get_user_order","",""
"","190","Создание заказа с авторизацией без ингредиентов","tests","Sun Dec 08 20:30:37 CET 2024","passed","Sun Dec 08 20:30:37 CET 2024","TestCreateOrder","test_make_order","",""
"","181","Ошибка изменения почты без авторизации","tests","Sun Dec 08 20:30:43 CET 2024","passed","Sun Dec 08 20:30:43 CET 2024","","test_update_user","",""
"","1988","Успешное создание заказа с валидными ингредиентами и авторизацией","tests","Sun Dec 08 20:30:34 CET 2024","passed","Sun Dec 08 20:30:36 CET 2024","TestCreateOrder","test_make_order","",""
"","212","Проверка корректной ошибки при попытке авторизации с некорректными данными в обоих полях","tests","Sun Dec 08 20:30:32 CET 2024","passed","Sun Dec 08 20:30:32 CET 2024","TestLoginUser","test_login user","",""
"","171","Ошибка при создании заказа с неверным хешем ингредиентов без авторизации","tests","Sun Dec 08 20:30:39 CET 2024","passed","Sun Dec 08 20:30:39 CET 2024","TestCreateOrder","test_make_order","",""
"","180","Проверка корректной ошибки при попытке авторизации с пустыми полями","tests","Sun Dec 08 20:30:32 CET 2024","passed","Sun Dec 08 20:30:33 CET 2024","TestLoginUser","test_login user","",""
"","334","Проверка успешного создания уникального пользователя","tests","Sun Dec 08 20:30:25 CET 2024","passed","Sun Dec 08 20:30:25 CET 2024","TestCreateUser","test_create_user","",""
"","257","test_login_existing_user","tests","Sun Dec 08 20:30:31 CET 2024","passed","Sun Dec 08 20:30:31 CET 2024","TestLoginUser","test_login user","",""
"","172","Успешное изменение имени с авторизацией","tests","Sun Dec 08 20:30:41 CET 2024","passed","Sun Dec 08 20:30:41 CET 2024","","test_update_user","",""
"","422","Ошибка при получении заказов неавторизованным пользователем","tests","Sun Dec 08 20:30:30 CET 2024","passed","Sun Dec 08 20:30:31 CET 2024","TestGetOrders","test_get_user_order","",""
"","179","Успешное изменение имени и почты с авторизацией","tests","Sun Dec 08 20:30:42 CET 2024","passed","Sun Dec 08 20:30:42 CET 2024","","test_update_user","",""
"","228","test_create_user_already_registered","tests","Sun Dec 08 20:30:25 CET 2024","passed","Sun Dec 08 20:30:25 CET 2024","TestCreateUser","test_create_user","",""
"","539","Успешное получение заказов при отсутствии заказа у авторизованного пользователя","tests","Sun Dec 08 20:30:29 CET 2024","passed","Sun Dec 08 20:30:30 CET 2024","TestGetOrders","test_get_user_order","",""
